Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete1_B	27.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric19	27.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric16	28.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete6_B	4.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete2_C	13.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric6	13.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete3_C	15.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete7_B	15.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric13	15.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric9	15.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric15	16.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete4_C	16.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric2	16.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric12	17.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete5_B	17.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric17	17.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete4_B	17.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric14	18.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete10_C	19.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric11	19.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric8	19.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete7_C	19.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete8_B	20.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric16	20.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric7	21.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete1_B	21.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric4	22.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete9_C	22.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete5_C	22.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric19	22.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete8_C	22.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric18	22.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric20	23.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric3	23.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric5	24.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete10_B	24.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete6_C	25.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete3_B	25.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric10	26.4
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete9_B	27.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Numeric1	28.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete2_B	29.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete1_C	31.2
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric9	1.7
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete6_B	2.6
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete6_C	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete5_C	4.8
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete7_B	5.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric8	6.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete7_C	7.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete8_B	8.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete8_C	8.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete5_B	8.6
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete4_C	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete1_C	13.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete10_C	13.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete4_B	13.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete1_B	14.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete2_C	15.6
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete2_B	15.8
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete3_C	16.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete3_B	18.8
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete9_B	20.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete9_C	21.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric1	22.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric4	23.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric20	24.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric3	25.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric5	26.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric19	27.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric6	28.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric7	29.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric2	30.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric18	31.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric10	32.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric13	33.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric11	34.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric12	35.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric14	36.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric17	37.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric15	38.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric16	39.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete10_B	40.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete2_C	9.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete3_B	11.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete5_B	12.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric10	12.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete2_B	14.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete8_C	14.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete3_C	14.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete6_B	15.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric12	17.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric11	17.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric19	17.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric8	18.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete5_C	18.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete6_C	18.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric4	18.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete7_C	18.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete9_B	19.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete10_C	20.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric6	20.2
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric15	20.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete1_C	21.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete4_C	21.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric14	22.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric5	22.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric1	22.6
