Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
null	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete9_C,Discrete8_C,Numeric8,Discrete3_C,Discrete2_C,Numeric11,Discrete1_B,Discrete10_C,Discrete8_B,Discrete9_B,Discrete6_B,Discrete3_B,Numeric4,Numeric7,Discrete4_B,Numeric5,Numeric18,Discrete6_C,Discrete7_B,Discrete10_B,Numeric15,Numeric6,Numeric2,Numeric12,Numeric10,Discrete7_C,Numeric19,Numeric13,Discrete5_B,Discrete2_B,Numeric16,Numeric9,Discrete5_C,Discrete4_C,Numeric17,Discrete1_C,Numeric1,Numeric3,Numeric14,Numeric20
null	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	Numeric8,Numeric17,Numeric6,Numeric7,Numeric15,Numeric2,Numeric3,Numeric5,Numeric10,Numeric14,Numeric4,Numeric9,Numeric11,Numeric12,Numeric16,Numeric19,Numeric1,Numeric13,Numeric18,Numeric20,Discrete2_B,Discrete2_C,Discrete3_B,Discrete7_B,Discrete1_B,Discrete4_B,Discrete6_B,Discrete8_B,Discrete10_B,Discrete5_B,Discrete9_B,Discrete9_C,Discrete10_C,Discrete4_C,Discrete5_C,Discrete6_C,Discrete1_C,Discrete3_C,Discrete7_C,Discrete8_C
null	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Discrete3_B,Discrete10_C,Discrete2_C,Discrete7_C,Discrete1_C,Discrete6_C,Discrete9_B,Numeric5,Discrete3_C,Discrete8_C,Discrete9_C,Numeric8,Discrete2_B,Discrete4_C,Discrete5_C,Numeric12,Discrete7_B,Discrete8_B,Numeric10,Numeric7,Discrete1_B,Numeric17,Numeric2,Numeric4,Numeric11,Numeric16,Numeric20,Numeric9,Discrete4_B,Discrete5_B,Numeric13,Numeric18,Numeric14,Numeric15,Numeric19,Numeric6,Discrete10_B,Discrete6_B,Numeric1,Numeric3
null	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric10,Discrete2_B,Discrete8_C,Discrete3_B,Numeric15,Discrete10_B,Numeric4,Discrete2_C,Numeric8,Discrete3_C,Numeric14,Numeric18,Discrete10_C,Discrete7_B,Numeric12,Discrete5_C,Discrete5_B,Discrete9_B,Discrete6_B,Numeric3,Discrete1_C,Discrete7_C,Numeric20,Numeric13,Discrete8_B,Discrete1_B,Numeric2,Numeric19,Discrete9_C,Discrete4_B,Discrete4_C,Numeric16,Numeric5,Numeric7,Numeric6,Numeric1,Discrete6_C,Numeric9,Numeric17,Numeric11
null	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric13,Numeric3,Discrete2_B,Discrete3_B,Numeric12,Discrete10_B,Numeric14,Discrete8_C,Numeric5,Numeric9,Discrete7_B,Discrete3_C,Discrete7_C,Numeric18,Discrete9_B,Numeric7,Numeric2,Discrete2_C,Numeric1,Discrete6_B,Discrete5_B,Numeric8,Discrete6_C,Discrete10_C,Numeric11,Discrete1_C,Numeric10,Discrete8_B,Numeric16,Discrete4_B,Discrete9_C,Discrete4_C,Discrete5_C,Numeric4,Numeric6,Numeric20,Discrete1_B,Numeric15,Numeric19,Numeric17
null	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete10_B,Discrete5_B,Discrete7_B,Discrete4_C,Discrete2_C,Numeric16,Numeric7,Discrete9_C,Numeric14,Numeric9,Discrete6_B,Discrete3_B,Numeric18,Numeric8,Numeric11,Numeric20,Numeric17,Numeric12,Numeric6,Discrete10_C,Numeric4,Numeric3,Numeric15,Numeric2,Discrete8_B,Discrete2_B,Numeric10,Discrete5_C,Discrete6_C,Discrete8_C,Numeric5,Numeric19,Numeric1,Discrete3_C,Discrete4_B,Discrete7_C,Numeric13,Discrete1_C,Discrete1_B,Discrete9_B
null	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric10,Discrete2_B,Discrete8_C,Discrete3_B,Discrete10_B,Numeric15,Numeric14,Numeric8,Discrete2_C,Numeric12,Discrete3_C,Numeric18,Numeric3,Discrete10_C,Numeric4,Discrete7_B,Discrete5_C,Discrete5_B,Discrete9_B,Discrete6_B,Numeric20,Discrete1_C,Discrete7_C,Numeric19,Discrete8_B,Discrete1_B,Numeric2,Numeric16,Discrete9_C,Discrete4_B,Discrete4_C,Numeric11,Numeric13,Numeric9,Numeric5,Numeric6,Numeric1,Numeric7,Discrete6_C,Numeric17
null	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Numeric14,Numeric10,Discrete10_B,Numeric3,Discrete3_B,Numeric12,Discrete8_C,Numeric16,Discrete7_C,Numeric4,Numeric18,Discrete2_B,Discrete4_B,Discrete9_C,Discrete6_C,Numeric8,Discrete7_B,Discrete5_B,Discrete8_B,Discrete2_C,Discrete6_B,Discrete4_C,Discrete3_C,Discrete10_C,Discrete5_C,Discrete1_C,Numeric20,Discrete1_B,Numeric15,Numeric7,Discrete9_B,Numeric9,Numeric19,Numeric5,Numeric2,Numeric1,Numeric11,Numeric17,Numeric6,Numeric13
